kód okresu,kód KÚ,názov obce
611,873900,Zvolenská Slatina
611,874205,Železná Breznica
612,,okres ŽARNOVICA
612,801461,Banská Hodruša
612,806188,Brehy
612,811971,Dolné Hámre
612,817881,Horné Hámre
612,818763,Hrabičov
612,819816,Hronský Beňadik
612,824038,Kľak
612,826189,Kopanice
612,835102,Malá Lehota
612,841251,Nová Baňa
612,844411,Orovnica
612,844624,Ostrý Grúň
612,846651,Píla pri Žarnovici
612,850403,Psiare
612,852091,Revištské Podzámčie
612,853534,Rudno nad Hronom
612,862606,Tekovská Breznica
612,867772,Veľká Lehota
612,868248,Veľké Pole
612,870170,Voznica
612,874001,Žarnovica
612,874019,Žarnovická Huta
612,875066,Župkov
613,,okres ŽIAR NAD HRONOM
613,802107,Bartošova Lehôtka
613,807419,Bukovina pri Bzenici
613,807761,Bzenica
613,811921,Dolná Trnávka
613,811939,Dolná Ves
613,811947,Dolná Ždaňa
613,816191,Hliník nad Hronom
613,817791,Horná Trnávka
613,817830,Horná Ves pri Kremnici
613,817848,Horná Ždaňa
613,874515,Horné Opatovce
613,819786,Hronská Dúbrava
613,821152,Ihráč
613,821942,Jalná
613,822124,Janova Lehota
613,822485,Jastrabá
613,823996,Klačany pri Trnavej Hore
613,826227,Kopernica
613,826588,Kosorín
613,827932,Krahule
613,828882,Kremnica
613,829021,Kremnické Bane
613,829854,Kunešov
613,830518,Ladomer
613,831212,Lehôtka pod Brehmi
613,833169,Lovča
613,833177,Lovčica
613,834033,Lúčky pri Kremnici
613,834262,Lutila
613,839868,Nevoľné
613,846724,Pitelová
613,849499,Prestavlky
613,850276,Prochot
613,852031,Repište
613,855871,Sklené Teplice
613,856045,Slaská
613,858048,Stará Kremnička
613,860654,Šášovské Podhradie
613,865265,Trnavá Hora
613,865567,Trubín
613,877689,Vieska pri Žiari nad Hronom
613,870846,Vyhne
613,874370,Žiar nad Hronom
701,,okres BARDEJOV
701,800066,Abrahámovce
701,800201,Andrejová
701,801712,Bardejov
701,802077,Bardejovská Nová Ves
701,802115,Bartošovce
701,802298,Becherov
701,802484,Beloveža
701,803375,Bogliarka
701,806731,Brezov
701,806871,Brezovka
701,807061,Buclovany
701,808172,Cigeľka
701,810886,Dlhá Lúka nad Topľou
701,813133,Dubinné
701,814385,Frička
701,814393,Fričkovce
701,814474,Gaboltov
701,815071,Gerlachov
701,815721,Hankovce
701,815772,Harhaj
701,815985,Hažlín
701,816108,Hertník
701,816116,Hervartov
701,818844,Hrabovec
701,818887,Hrabské
701,820539,Hutka
701,820725,Chmeľová
701,822167,Janovce
701,822574,Jedlinka
701,824925,Kľušov
701,824992,Kobyly
701,825115,Kochanovce
701,826031,Komárov
701,826251,Koprivnica
701,827894,Kožany
701,829145,Krivé
701,829170,Kríže
701,829625,Kružlov
701,829757,Kučín
701,829919,Kurima
701,829943,Kurov
701,830640,Lascov
701,831328,Lenartov
701,832260,Lipová
701,832961,Livov
701,832979,Livovská Huta
701,833118,Lopúchov
701,834149,Lukavica pri Bardejove
701,834165,Lukov
701,835447,Malcov
701,836061,Marhaň
701,837521,Mikuláššová
701,838276,Mokroluh
701,839493,Nemcovce
701,840882,Nižná Polianka
701,840971,Nižná Voľa
701,841021,Nižné Raslavice
701,841196,Nižný Tvarožec
701,843695,Oľšavce
701,843806,Ondavka
701,844420,Ortuťová
701,844454,Osikov
701,845981,Petrová
701,847917,Poliakovce
701,848654,Porúbka nad Topľou
701,851949,Regetovka
701,852066,Rešov
701,852376,Richvald
701,852759,Rokytov
701,856703,Smilno
701,856894,Snakov
701,858684,Stebnícka Huta
701,858692,Stebník
701,859311,Stuľany
701,859711,Sveržov
701,860506,Šarišské Čierne
701,860638,Šašová
701,860816,Šiba
701,862517,Tarnov
701,865443,Tročany
701,867349,Vaniškovce
701,867373,Varadka
701,834173,Venécia
701,871273,Vyšná Polianka
701,871362,Vyšná Voľa
701,871419,Vyšné Raslavice
701,871532,Vyšný Kručov
701,871613,Vyšný Tvarožec
701,872881,Zborov
701,873349,Zlaté
702,,okres HUMENNÉ
702,800155,Adidovce
